Ccy,CcyNm/0/_lang,CcyNm/0/__text,CcyNm/1/_lang,CcyNm/1/__text,CcyNbr,CcyMnrUnts
ADP,LT,Andoros peseta,EN,Andorran peseta,020,0
AED,LT,Jungtinių Arabų Emiratų dirhamas,EN,UAE dirham,784,2
AFN,LT,Afganistano afganis,EN,Afghani,971,2
ALL,LT,Albanijos lekas,EN,Albanian lek,008,2
AMD,LT,Armėnijos dramas,EN,Armenian dram,051,2
ANG,LT,Olandijos Antilų guldenas,EN,Netherlands Antillean guilder,532,2
AOA,LT,Angolos kvanza,EN,Kwanza,973,2
ARS,LT,Argentinos pesas,EN,Argentine peso,032,2
ATS,LT,Austrijos šilingas,EN,Austrian schilling,040,2
AUD,LT,Australijos doleris,EN,Australian dollar,036,2
AWG,LT,Arubos florinas,EN,Aruban florin,533,2
AZN,LT,Azerbaidžano manatas,EN,Azerbaijan manat,944,2
BAM,LT,Bosnijos ir Hercegovinos konvertuojamoji markė,EN,Convertible marks,977,2
BBD,LT,Barbadoso doleris,EN,Barbodos dollar,052,2
BDT,LT,Bangladešo taka,EN,Bangladeshi taka,050,2
BEF,LT,Belgijos frankas,EN,Belgian franc,056,0
BGN,LT,Bulgarijos levas,EN,Bulgarian lev,975,2
BHD,LT,Bahreino dinaras,EN,Bahraini dinar,048,3
BIF,LT,Burundžio frankas,EN,Burundi franc,108,0
BYN,LT,Baltarusijos rublis,EN,Belarusian ruble,933,2
BYR,LT,Baltarusijos rublis,EN,Belarusian ruble,974,0
BMD,LT,Bermudos doleris,EN,Bermudian dollar,060,2
BND,LT,Brunėjaus doleris,EN,Brunei dollar,096,2
BOB,LT,Bolivijos bolivianas,EN,Bolivian boliviano,068,2
BOV,LT,Bolivijos Mvdol,EN,Mvdol,984,2
BRL,LT,Brazilijos realas,EN,Brazilian real,986,2
BSD,LT,Bahamų doleris,EN,Bahamian dollar,044,2
BTN,LT,Ngultrumas,EN,Ngultrum,064,2
BWP,LT,Pula,EN,Pula,072,2
BZD,LT,Belizo doleris,EN,Belize dollar,084,2
CAD,LT,Kanados doleris,EN,Canadian dollar,124,2
CDF,LT,Kongo frankas,EN,Congolese Franc,976,2
CHF,LT,Šveicarijos frankas,EN,Swiss franc,756,2
CYP,LT,Kipro svaras,EN,Cyprus pound,196,2
CLF,LT,Unidad de fomento,EN,Unidad de fomento,990,2
CLP,LT,Čilės pesas,EN,Chilean peso,152,0
CNY,LT,Kinijos ženminbi juanis,EN,Chinese yuan renminbi,156,2
COP,LT,Kolumbijos pesas,EN,Colombian peso,170,2
CRC,LT,Kosta Rikos kolonas,EN,Costa Rican colon,188,2
CUP,LT,Kubos pesas,EN,Cuban peso,192,2
CVE,LT,Žaliojo Kyšulio eskudas,EN,Cape Verde escudo,132,2
CZK,LT,Čekijos krona,EN,Czech koruna,203,2
DEM,LT,Vokietijos markė,EN,Deutsche mark,276,2
DJF,LT,Džibučio frankas,EN,Djibouti franc,262,0
DKK,LT,Danijos krona,EN,Danish krone,208,2
DOP,LT,Dominikos pesas,EN,Dominican peso,214,2
DZD,LT,Alžyro dinaras,EN,Algerian dinar,012,2
ECS,LT,Ekvadoro sukrė,EN,Ecuadoran sucre,218,2
ECV,LT,Constante (UVC),EN,Unidad de valor,983,2
EEK,LT,Estijos krona,EN,Estonian kroon,233,2
EGP,LT,Egipto svaras,EN,Egyptian pound,818,2
ERN,LT,Nakfa,EN,Nakfa,232,2
ESP,LT,Ispanijos peseta,EN,Spanish peseta,724,0
ETB,LT,Etiopijos biras,EN,Ethiopian birr,230,2
EUR,LT,Euras,EN,Euro,978,2
FIM,LT,Suomijos markė,EN,Finnish markka,246,2
FJD,LT,Fidžio doleris,EN,Fiji dollar,242,2
FKP,LT,Falklando salų svaras,EN,Falkland islands pound,238,2
FRF,LT,Prancūzijos frankas,EN,French franc,250,2
GBP,LT,Didžiosios Britanijos svaras sterlingų,EN,Pound sterling,826,2
GEL,LT,Gruzijos laris,EN,Georgian lari,981,2
GHS,LT,Ganos sedis,EN,Ghana cedi,936,2
GYD,LT,Gajanos doleris,EN,Guyana dollar,328,2
GIP,LT,Gibraltaro svaras,EN,Gibraltar pound,292,2
GMD,LT,Dalasis,EN,Dalasi,270,2
GNF,LT,Gvinėjos frankas,EN,Guinean franc,324,0
GRD,LT,Graikijos drachma,EN,Greek drachma,300,0
